,H15_1,AGLOMERADO_33,CH03_10,CH03_2,CH03_3,CH03_4,CH03_5,CH03_6,CH03_7,CH03_8,CH03_9,CH04_2,CH07_2.0,CH07_3.0,CH07_4.0,CH07_5.0,CH08_12.0,CH08_2.0,CH08_3.0,CH08_4.0,CH09_2.0,CH09_3.0,CH10_1.0,CH10_2.0,CH10_3.0,CH11_1.0,CH11_2.0,CH13_1.0,CH13_2.0,CH15_2.0,CH15_3.0,CH15_4.0,CH15_5.0,CH16_1.0,CH16_2.0,CH16_3.0,CH16_4.0,CH16_5.0,CH16_6.0,ESTADO_2.0,ESTADO_3.0,ESTADO_4.0,CAT_OCUP_1.0,CAT_OCUP_2.0,CAT_OCUP_3.0,CAT_OCUP_4.0,CAT_INAC_1,CAT_INAC_2,CAT_INAC_3,CAT_INAC_4,CAT_INAC_5,CAT_INAC_6,CAT_INAC_7,PP02C1_1,PP02C1_2,PP02C2_1,PP02C2_2,PP02C3_1,PP02C3_2,PP02C4_1,PP02C4_2,PP02C5_1,PP02C5_2,PP02C6_1,PP02C6_2,PP02C7_1,PP02C7_2,PP02C8_1,PP02C8_2,PP02E_1,PP02E_2,PP02E_3,PP02E_4,PP02E_5,PP02H_1,PP02H_2,PP02I_1,PP02I_2,IV1_2,IV1_3,IV1_4,IV1_6,IV3_2,IV3_3,IV3_4,IV4_2.0,IV4_3.0,IV4_4.0,IV4_5.0,IV4_6.0,IV5_2,IV6_2,IV6_3,IV7_2,IV7_3,IV7_4,IV8_2,IV9_1,IV9_2,IV10_1,IV10_2,IV10_3,IV11_1,IV11_2,IV11_3,IV11_4,IV12_1_2,IV12_2_2,IV12_3_2,II3_1,II3_2,II4_1_1,II4_1_2,II4_2_1,II4_2_2,II4_3_1,II4_3_2,II5_1,II5_2,II5_1_1,II5_1_2,II6_1,II6_2,II6_1_1,II6_1_2,II7_1.0,II7_2.0,II7_3.0,II7_4.0,II7_5.0,II7_6.0,II7_7.0,II7_8.0,II8_1,II8_2,II8_3,II8_4,II9_1,II9_2,II9_3,II9_4,V1_2.0,V2_2.0,V21_2,V22_2,V3_2.0,V4_2.0,V5_2.0,V6_2.0,V7_2.0,V8_2.0,V9_2.0,V10_2.0,V11_2.0,V12_2.0,V13_2.0,V14_2.0,V15_2.0,V16_2.0,V17_2.0,V18_2.0,IX_TOT_10,IX_TOT_11,IX_TOT_12,IX_TOT_13,IX_TOT_2,IX_TOT_3,IX_TOT_4,IX_TOT_5,IX_TOT_6,IX_TOT_7,IX_TOT_8,IX_TOT_9,IX_MEN10_1,IX_MEN10_2,IX_MEN10_3,IX_MEN10_4,IX_MEN10_8,IX_MAYEQ10_10,IX_MAYEQ10_2,IX_MAYEQ10_3,IX_MAYEQ10_4,IX_MAYEQ10_5,IX_MAYEQ10_6,IX_MAYEQ10_7,IX_MAYEQ10_8,IX_MAYEQ10_9,VII1_1_2.0,VII1_1_3.0,VII1_1_4.0,VII1_1_5.0,VII1_1_6.0,VII1_1_7.0,VII1_1_96.0,VII1_1_97.0,VII1_1_98.0,VII1_2_1,VII1_2_2,VII1_2_3,VII1_2_4,VII1_2_5,VII1_2_6,VII1_2_7,VII1_2_8,VII1_2_96,VII2_1_2,VII2_1_3,VII2_1_4,VII2_1_5,VII2_1_6,VII2_1_7,VII2_1_8,VII2_1_96,VII2_1_97,VII2_1_98,VII2_2_1,VII2_2_2,VII2_2_3,VII2_2_4,VII2_2_5,VII2_2_6,VII2_2_9,VII2_2_96,VII2_2_97,VII2_2_98,VII2_3_1,VII2_3_2,VII2_3_3,VII2_3_4,VII2_3_45,VII2_3_5,VII2_3_6,VII2_3_98,VII2_4_5,VII2_4_6,CODUSU,NRO_HOGAR,COMPONENTE,ITF,NIVEL_ED,CH12,CH06,IV2,II1,II2,II3_cont,PONDIH,propunder10,membersxroom,overcrowded,propwork,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHJNOPCDEIJAH00802435,1,1,240000,5,7.0,56,5.0,5.0,3,0,4580,0.0,1.3333333333333333,0,0.75,1.0,3.54,203093.51700000002,0
1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHJNOPCDEIJAH00802435,1,2,240000,3,4.0,50,5.0,5.0,3,0,4580,0.0,1.3333333333333333,0,0.75,0.76,3.54,203093.51700000002,0
2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHJNOPCDEIJAH00802435,1,3,240000,4,4.0,25,5.0,5.0,3,0,4580,0.0,1.3333333333333333,0,0.75,0.76,3.54,203093.51700000002,0
3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHJNOPCDEIJAH00802435,1,4,240000,5,7.0,22,5.0,5.0,3,0,4580,0.0,1.3333333333333333,0,0.75,1.02,3.54,203093.51700000002,0
4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHKMQRCDEIJAH00780809,1,1,194600,4,4.0,40,2.0,2.0,1,0,5915,0.3333333333333333,6.0,2,0.3333333333333333,0.77,4.48,257022.30400000003,1
5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHKMQRCDEIJAH00780809,1,2,194600,4,4.0,19,2.0,2.0,1,0,5915,0.3333333333333333,6.0,2,0.3333333333333333,0.76,4.48,257022.30400000003,1
6,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHKMQRCDEIJAH00780809,1,3,194600,3,4.0,11,2.0,2.0,1,0,5915,0.3333333333333333,6.0,2,0.3333333333333333,0.72,4.48,257022.30400000003,1
7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHKMQRCDEIJAH00780809,1,4,194600,1,2.0,8,2.0,2.0,1,0,5915,0.3333333333333333,6.0,2,0.3333333333333333,0.68,4.48,257022.30400000003,1
8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHKMQRCDEIJAH00780809,1,5,194600,0,1.0,4,2.0,2.0,1,0,5915,0.3333333333333333,6.0,2,0.3333333333333333,0.55,4.48,257022.30400000003,1
9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TQRMNOPPQHKMQRCDEIJAH00780809,1,6,194600,4,4.0,45,2.0,2.0,1,0,5915,0.3333333333333333,6.0,2,0.3333333333333333,1.0,4.48,257022.30400000003,1
